id,date,HIC,well,scene,label,area,intensity_max-DAPI Class,row,column,chelation,media
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,10,651.1000443700001,1.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,11,0.69303645,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,12,0.3080162,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,13,30.031579500000003,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,14,0.3080162,0.0,D,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,1,2.07910935,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,2,0.35421863000000003,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,3,0.53902835,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,4,0.18480972,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,5,18.527174430000002,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,6,1.3552712800000002,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,7,0.7700405,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,8,0.18480972,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,9,0.80084212,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,10,0.015400810000000001,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,11,0.18480972,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,12,0.015400810000000001,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,13,0.09240486,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,14,566.45719261,1.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,15,0.18480972,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,16,2.94155471,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,17,0.6160324,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,18,0.6776356400000001,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,19,4.26602437,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,20,0.09240486,0.0,E,9,50uM DFP,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,21,311.41977901,1.0,E,9,50uM DFP,NGM
